Diesel Price (Dollars US par gallon),Phosphate / Diesel Price Ratio,Months,Predicted Price MLR,Predicted Price TR,Predicted Price RF
1.63,544145.0,August 2023,83.92263343626894,88.75,89.10749999999999
1.79,474595.0,September 2023,82.57494233014793,85.0,86.02000000000001
1.8,444692.0,October 2023,79.24216969515993,80.0,79.43928571428572
1.92,417537.0,November 2023,79.85918854060557,80.0,80.25357142857145
1.94,411523.0,December 2023,76.2377712574645,80.0,79.89285714285714
2.07,385728.0,January 2024,79.37932495521372,80.0,82.34607142857145
1.94,425916.0,February 2024,73.79075240635828,82.5,80.72142857142856
1.93,438860.0,March 2024,72.73629023200529,84.7,83.57857142857144
2.08,423280.0,April 2024,85.1006470073728,88.0,88.76785714285714
2.23,394619.0,May 2024,91.96647500030275,88.0,88.85285714285715
2.15,404474.0,June 2024,92.80966720943998,86.8,87.50785714285715
2.14,405981.0,July 2023,90.53624745668009,86.88,87.18428571428576
2.15,406410.0,August 2023,94.28723466599673,87.5,87.75785714285715
2.25,388544.0,September 2023,97.80920233142407,87.5,86.5625
2.33,391295.0,October 2023,104.5477074647329,91.25,91.29035714285715
2.05,451660.0,November 2023,94.06862980422015,92.5,91.78571428571429
1.8,550639.0,December 2023,90.7388869921415,99.17,97.03357142857145
1.85,555255.0,January 2024,93.84856663729164,102.5,101.7075
1.96,522426.0,February 2024,91.4426760624853,102.5,101.92857142857143
1.99,495473.0,March 2024,86.21969014077231,98.5,98.8125
2.06,472842.0,April 2024,92.20349945354806,97.5,97.01785714285714
2.03,480059.0,May 2024,93.48192329658664,97.5,100.23214285714286
1.85,528169.0,June 2024,94.32615750193543,97.5,97.24714285714286
1.92,416667.0,July 2023,78.08675460465288,80.0,80.16428571428573
1.82,427632.0,August 2023,76.49305147193687,78.0,79.53928571428573
1.94,399485.0,September 2023,79.5691054616209,77.5,78.10000000000001
1.94,400103.0,October 2023,80.76051505242614,77.5,78.28571428571429
1.93,382825.0,November 2023,74.62475885708771,74.0,75.21428571428571
1.99,364688.0,December 2023,71.54166891006153,72.5,76.14500000000001
1.86,390625.0,January 2024,66.5969741733716,72.5,73.91071428571429
1.62,446979.0,February 2024,56.61782561963199,72.5,76.38571428571429
1.19,604034.0,March 2024,52.761321814593074,71.88,72.83928571428575
0.88,803977.0,April 2024,71.83299788873698,70.75,80.18678571428572
0.89,821872.0,May 2024,77.51382739849862,72.9,78.33142857142859
1.12,667260.0,June 2024,70.57911332911455,75.0,77.18821428571428
1.24,604839.0,July 2023,65.89846257145204,75.0,75.26857142857143
1.23,627080.0,August 2023,72.04951841595427,76.88,77.1464285714286
1.12,707487.0,September 2023,78.6135367818809,79.38,81.15500000000004
1.15,693241.0,October 2023,79.23055520950817,80.0,81.61607142857143
1.24,664787.0,November 2023,77.68282666904977,82.5,82.32642857142856
1.44,577078.0,December 2023,71.88422089190398,83.33,85.94999999999997
1.58,539683.0,January 2024,73.70812830936399,85.0,87.13607142857143
1.79,492897.0,February 2024,75.4189701902174,88.13,88.96142857142863
1.85,519428.0,March 2024,81.20450726437235,96.25,96.54464285714286
1.86,510478.0,April 2024,85.61761883810038,95.0,95.22928571428572
2.02,506423.0,May 2024,97.30162003400932,102.5,102.08928571428571
2.12,589345.0,June 2024,122.19509143045318,125.0,124.80357142857143
2.13,587682.0,July 2023,120.68085694537147,125.0,123.64285714285714
2.07,661896.0,August 2023,132.39875038847902,136.88,133.28428571428577
2.2,670150.0,September 2023,142.29187253792128,147.5,144.24
2.52,584622.0,October 2023,149.6266132840783,147.5,146.64357142857145
2.39,640443.0,November 2023,148.10049667958987,153.13,152.8653571428572
2.25,784851.0,December 2023,159.5998152359237,176.67,162.8389285714286
2.62,661812.0,January 2024,161.81830880361943,173.13,167.23642857142863
2.87,600627.0,February 2024,163.68176501324314,172.5,171.91071428571428
3.78,472884.0,March 2024,198.41971305485654,178.75,180.16535714285715
4.04,617269.0,April 2024,245.02351125541196,249.5,240.585
4.65,548859.0,May 2024,274.9703846916521,255.0,243.33928571428572
4.36,659101.0,June 2024,279.21388651935825,287.5,270.10714285714283
3.7,865801.0,July 2023,269.5813245364684,320.0,313.2142857142857
3.6,889878.0,August 2023,270.2097079381559,320.0,315.35714285714283
3.44,931587.0,September 2023,266.97457792336354,320.0,311.07142857142856
4.35,730725.0,October 2023,293.0076249679388,317.5,296.23214285714283
4.06,738371.0,November 2023,272.94607279711903,300.0,293.82142857142856
3.12,962464.0,December 2023,246.0934163488542,300.0,300.60714285714283
3.27,918274.0,January 2024,247.4139793314954,300.0,296.10714285714283
2.83,1138771.0,February 2024,252.288051840754,322.5,305.0464285714285
2.75,1255916.0,March 2024,264.3550858964104,345.0,335.64750000000004
2.59,1330505.0,April 2024,271.9060901543023,345.0,336.1653571428572
2.35,1470588.0,May 2024,282.089029576167,345.0,328.85714285714283
2.43,1416530.0,June 2024,282.47213908834857,344.5,321.89750000000004
