Mois,Phosphate Price (Dollars américains par tonne métrique),Diesel Price (Dollars US par gallon),Phosphate ROC,Diesel ROC,Phosphate / Diesel Price Ratio
June,287.5,4.36,12.75,-6.11,65.9101
July,320.0,3.7,11.3,-15.27,86.5801
August,320.0,3.6,0.0,-2.71,88.9878
September,320.0,3.44,0.0,-4.48,93.1587
October,317.5,4.35,-0.78,26.49,73.0725
November,300.0,4.06,-5.51,-6.49,73.8371
December,300.0,3.12,0.0,-23.28,96.2464
January,300.0,3.27,0.0,4.81,91.8274
February,322.5,2.83,7.5,-13.31,113.8771
March,345.0,2.75,6.98,-3.0,125.5916
April,345.0,2.59,0.0,-5.61,133.0505
May,345.0,2.35,0.0,-9.53,147.0588
June,344.5,2.43,-0.14,3.67,141.6530
July 2023,44.0,2.43,-87.22786647314949,0.0,0.31061820081466684
August 2023,44.0,2.43,0.0,0.0,141.653
September 2023,44.0,2.43,0.0,0.0,0.31061820081466684
October 2023,44.0,2.43,0.0,0.0,141.653
November 2023,44.0,2.43,0.0,0.0,0.31061820081466684
December 2023,44.0,2.43,0.0,0.0,141.653
January 2023,44.0,2.43,0.0,0.0,0.31061820081466684
February 2023,44.0,2.43,0.0,0.0,141.653
March 2023,44.0,2.43,0.0,0.0,0.31061820081466684
April 2023,44.0,2.43,0.0,0.0,141.653
May 2023,44.0,2.43,0.0,0.0,0.31061820081466684
June 2023,44.0,2.43,0.0,0.0,141.653
July 2023,44.0,2.43,0.0,0.0,0.31061820081466684
August 2023,44.0,2.43,0.0,0.0,141.653
September 2023,44.0,2.43,0.0,0.0,0.31061820081466684
October 2023,44.0,2.43,0.0,0.0,141.653
November 2023,44.0,2.43,0.0,0.0,0.31061820081466684
December 2023,44.0,2.43,0.0,0.0,141.653
January 2023,44.0,2.43,0.0,0.0,0.31061820081466684
February 2023,44.0,2.43,0.0,0.0,141.653
March 2023,44.0,2.43,0.0,0.0,0.31061820081466684
April 2023,44.0,2.43,0.0,0.0,141.653
May 2023,44.0,2.43,0.0,0.0,0.31061820081466684
June 2023,44.0,2.43,0.0,0.0,141.653
July 2023,44.0,2.43,0.0,0.0,0.31061820081466684
August 2023,44.0,2.43,0.0,0.0,141.653
September 2023,44.0,2.43,0.0,0.0,0.31061820081466684
October 2023,44.0,2.43,0.0,0.0,141.653
November 2023,44.0,2.43,0.0,0.0,0.31061820081466684
December 2023,44.0,2.43,0.0,0.0,141.653
January 2023,44.0,2.43,0.0,0.0,0.31061820081466684
February 2023,44.0,2.43,0.0,0.0,141.653
March 2023,44.0,2.43,0.0,0.0,0.31061820081466684
April 2023,44.0,2.43,0.0,0.0,141.653
May 2023,44.0,2.43,0.0,0.0,0.31061820081466684
June 2023,44.0,2.43,0.0,0.0,141.653
